\doc
TITLE. White Clay Creek at 926 Stage Data 2012
ABSTRACT. White Clay Creek at 926 stage measurements as determined from continuous data loggers 
INVESTIGATOR. Anthony Aufdenkampe, Stroud Water Research Center, 970 Spencer Road, Avondale, PA 19311, aufdenkampe@stroudcenter.org. 
INVESTIGATOR.	Sara Geleskie Damiano, Stroud Water Research Center, 970 Spencer Road, Avondale, PA 19311,sgeleskie@stroudcenter.org
VARIABLES. Gage height 
KEYWORDS. white clay creek,stroud water research center,christina river,hydrology,stage
CITATION. White Clay Creek at 926 stage measurements as determined from continuous data loggers
PUBLICATIONS.  
COMMENTS. Version 2, Publication Date, 07MAY15 
Rating curve is under development.
Stage data was sourced from data loggers as follows:
SiteCode WCC2154   01JAN12:00:00 -  31DEC12:23:55  Solinst       1038582
SiteCode WCW374    01JAN12:00:00 -  31DEC12:23:55  Solinst       1038069
DEFAULT_PARAMETER. SampleType=streamwater
DEFAULT_PARAMETER. TimeSupport=0
DEFAULT_PARAMETER. TimeSupportUnits=hour
DEFAULT_PARAMETER. NoDataValue=-9999
DEFAULT_PARAMETER. SampleMedium=Surface Water
DEFAULT_PARAMETER. ValueType=Derived Value
DEFAULT_PARAMETER. DataLevel=1
DEFAULT_PARAMETER. DataType=Continuous
DEFAULT_PARAMETER. CensorCode=nc
DEFAULT_PARAMETER. TimeZone=EST
DEFAULT_PARAMETER. UTCOffset=-5
DEFAULT_PARAMETER. DataBeginsOnRow = 32
\header
COL1. label=ValueAttribute,value=SiteCode
COL2. label=ValueAttribute,value=DateTime,format = yyyyMMdd H:mm
COL3. label=VariableName,value=Gage height,units=ft,method=Gage Height
\data
WCC2154,20120101  0:00, 0.831
WCC2154,20120101  0:05, 0.835
WCC2154,20120101  0:10, 0.831
WCC2154,20120101  0:15, 0.832
WCC2154,20120101  0:20, 0.831
WCC2154,20120101  0:25, 0.834
WCC2154,20120101  0:30, 0.83
WCC2154,20120101  0:35, 0.829
WCC2154,20120101  0:40, 0.837
WCC2154,20120101  0:45, 0.827
WCC2154,20120101  0:50, 0.827
WCC2154,20120101  0:55, 0.831
WCC2154,20120101  1:00, 0.831
WCC2154,20120101  1:05, 0.833
WCC2154,20120101  1:10, 0.834
WCC2154,20120101  1:15, 0.831
WCC2154,20120101  1:20, 0.831
WCC2154,20120101  1:25, 0.83
WCC2154,20120101  1:30, 0.833
WCC2154,20120101  1:35, 0.831
WCC2154,20120101  1:40, 0.833
WCC2154,20120101  1:45, 0.833
WCC2154,20120101  1:50, 0.833
WCC2154,20120101  1:55, 0.827
WCC2154,20120101  2:00, 0.828
WCC2154,20120101  2:05, 0.831
WCC2154,20120101  2:10, 0.834
WCC2154,20120101  2:15, 0.831
WCC2154,20120101  2:20, 0.831
WCC2154,20120101  2:25, 0.829
WCC2154,20120101  2:30, 0.829
WCC2154,20120101  2:35, 0.832
WCC2154,20120101  2:40, 0.83
WCC2154,20120101  2:45, 0.83
WCC2154,20120101  2:50, 0.832
WCC2154,20120101  2:55, 0.832
WCC2154,20120101  3:00, 0.83
WCC2154,20120101  3:05, 0.831
WCC2154,20120101  3:10, 0.828
WCC2154,20120101  3:15, 0.829
WCC2154,20120101  3:20, 0.833
WCC2154,20120101  3:25, 0.827
WCC2154,20120101  3:30, 0.831
WCC2154,20120101  3:35, 0.831
WCC2154,20120101  3:40, 0.829
WCC2154,20120101  3:45, 0.834
WCC2154,20120101  3:50, 0.83
WCC2154,20120101  3:55, 0.83
WCC2154,20120101  4:00, 0.829
WCC2154,20120101  4:05, 0.831
WCC2154,20120101  4:10, 0.83
WCC2154,20120101  4:15, 0.826
WCC2154,20120101  4:20, 0.83
WCC2154,20120101  4:25, 0.831
WCC2154,20120101  4:30, 0.827
WCC2154,20120101  4:35, 0.827
WCC2154,20120101  4:40, 0.832
WCC2154,20120101  4:45, 0.828
WCC2154,20120101  4:50, 0.828
WCC2154,20120101  4:55, 0.83
WCC2154,20120101  5:00, 0.827
WCC2154,20120101  5:05, 0.829
WCC2154,20120101  5:10, 0.827
WCC2154,20120101  5:15, 0.833
WCC2154,20120101  5:20, 0.825
WCC2154,20120101  5:25, 0.827
WCC2154,20120101  5:30, 0.829
WCC2154,20120101  5:35, 0.827
WCC2154,20120101  5:40, 0.827
WCC2154,20120101  5:45, 0.827
WCC2154,20120101  5:50, 0.827
WCC2154,20120101  5:55, 0.827
WCC2154,20120101  6:00, 0.827
WCC2154,20120101  6:05, 0.825
WCC2154,20120101  6:10, 0.827
WCC2154,20120101  6:15, 0.829
WCC2154,20120101  6:20, 0.827
WCC2154,20120101  6:25, 0.827
WCC2154,20120101  6:30, 0.825
WCC2154,20120101  6:35, 0.825
WCC2154,20120101  6:40, 0.826
WCC2154,20120101  6:45, 0.829
WCC2154,20120101  6:50, 0.827
WCC2154,20120101  6:55, 0.829
WCC2154,20120101  7:00, 0.827
WCC2154,20120101  7:05, 0.828
WCC2154,20120101  7:10, 0.826
WCC2154,20120101  7:15, 0.827
WCC2154,20120101  7:20, 0.827
WCC2154,20120101  7:25, 0.826
WCC2154,20120101  7:30, 0.821
WCC2154,20120101  7:35, 0.823
WCC2154,20120101  7:40, 0.82
WCC2154,20120101  7:45, 0.823
WCC2154,20120101  7:50, 0.822
WCC2154,20120101  7:55, 0.821
WCC2154,20120101  8:00, 0.822
WCC2154,20120101  8:05, 0.822
WCC2154,20120101  8:10, 0.82
WCC2154,20120101  8:15, 0.819
WCC2154,20120101  8:20, 0.819
WCC2154,20120101  8:25, 0.821
WCC2154,20120101  8:30, 0.819
WCC2154,20120101  8:35, 0.817
WCC2154,20120101  8:40, 0.815
WCC2154,20120101  8:45, 0.819
WCC2154,20120101  8:50, 0.818
WCC2154,20120101  8:55, 0.814
