
HYPNOS III
Hypnos#: 076
Filenumber: 033
Sample Time Interval: 005 Minutes
Redox: 36
Temperatures: 00
Started logging at 2012-10-03 16:03
Timestamp       ;R_00;R_01;R_02;R_03;R_04;R_05;R_06;R_07;R_08;R_09;R_10;R_11;R_12;R_13;R_14;R_15;R_16;R_17;R_18;R_19;R_20;R_21;R_22;R_23;R_24;R_25;R_26;R_27;R_28;R_29;R_30;R_31;R_32;R_33;R_34;R_35
2012-12-04 19:50; 465; 417;-429;-433;-442;-430;-404; 471; 552;-360;-451;-461;-470;-465;-467;-413; 543; 324;-358;-440;-446;-454;-447;-409; 183; 208; 537; 498; 506; 349;-398;-388;-387;-573; 573; 574
2012-12-04 19:55; 464; 417;-428;-433;-442;-429;-405; 471; 553;-360;-451;-461;-470;-465;-466;-414; 543; 325;-358;-440;-446;-454;-447;-408; 184; 207; 537; 498; 506; 350;-398;-387;-386;-573; 572; 575
2012-12-04 20:00; 464; 417;-428;-433;-442;-430;-404; 470; 552;-359;-451;-461;-470;-466;-466;-413; 543; 325;-358;-440;-446;-454;-447;-409; 185; 207; 537; 499; 505; 350;-398;-387;-386;-573; 572; 574
2012-12-04 20:05; 464; 417;-428;-433;-441;-431;-403; 470; 553;-361;-451;-461;-470;-465;-467;-412; 543; 325;-358;-440;-446;-454;-446;-409; 185; 208; 537; 499; 505; 350;-398;-387;-386;-573; 573; 574
2012-12-04 20:10; 465; 417;-428;-434;-441;-431;-403; 470; 553;-360;-451;-461;-470;-465;-467;-412; 543; 326;-357;-440;-445;-455;-446;-409; 184; 208; 537; 499; 505; 350;-398;-388;-386;-573; 573; 574
2012-12-04 20:15; 464; 416;-428;-434;-441;-431;-403; 470; 552;-359;-451;-461;-470;-465;-466;-412; 543; 327;-357;-440;-445;-455;-446;-409; 185; 210; 537; 500; 505; 351;-398;-388;-385;-573; 573; 574
2012-12-04 20:20; 465; 417;-428;-433;-442;-430;-404; 471; 552;-359;-452;-461;-470;-465;-466;-412; 543; 326;-357;-440;-445;-454;-447;-408; 184; 211; 537; 499; 506; 350;-397;-388;-386;-573; 573; 574
2012-12-04 20:25; 464; 417;-428;-433;-442;-430;-404; 471; 553;-359;-451;-461;-470;-466;-466;-413; 543; 326;-358;-440;-446;-454;-447;-408; 185; 211; 537; 499; 505; 350;-398;-387;-386;-573; 573; 575
2012-12-04 20:30; 465; 417;-428;-433;-442;-430;-403; 471; 553;-360;-451;-461;-470;-465;-467;-412; 543; 327;-357;-440;-446;-454;-447;-409; 184; 213; 537; 499; 506; 350;-397;-388;-386;-573; 573; 574
2012-12-04 20:35; 465; 417;-428;-434;-441;-431;-403; 470; 552;-359;-451;-461;-470;-465;-467;-412; 543; 327;-357;-440;-445;-455;-446;-409; 185; 212; 537; 500; 505; 351;-398;-388;-385;-573; 573; 574
2012-12-04 20:40; 465; 416;-428;-434;-441;-430;-404; 471; 552;-359;-452;-460;-470;-465;-466;-412; 543; 327;-358;-440;-445;-455;-446;-408; 184; 213; 537; 499; 506; 350;-397;-388;-385;-573; 573; 575
2012-12-04 20:45; 465; 417;-428;-433;-442;-430;-404; 471; 553;-360;-451;-461;-470;-465;-466;-413; 543; 327;-358;-440;-446;-454;-447;-409; 184; 212; 537; 499; 506; 350;-398;-388;-386;-573; 573; 574
2012-12-04 20:50; 465; 416;-428;-434;-441;-430;-404; 471; 552;-359;-452;-460;-470;-465;-466;-413; 543; 327;-358;-440;-445;-455;-446;-408; 184; 212; 537; 499; 506; 350;-397;-388;-385;-574; 573; 575
2012-12-04 20:55; 464; 417;-428;-434;-441;-431;-403; 470; 553;-360;-451;-461;-470;-465;-466;-413; 543; 328;-358;-440;-445;-456;-445;-409; 185; 213; 538; 500; 506; 351;-398;-387;-386;-573; 573; 574
2012-12-04 21:00; 465; 417;-428;-433;-441;-431;-403; 470; 552;-359;-451;-461;-470;-465;-467;-412; 543; 327;-357;-440;-445;-455;-446;-409; 185; 213; 537; 500; 506; 351;-398;-388;-385;-573; 573; 574
2012-12-04 21:05; 465; 417;-428;-433;-441;-431;-403; 470; 553;-360;-451;-461;-470;-465;-467;-412; 543; 327;-357;-440;-445;-455;-446;-409; 185; 214; 537; 500; 506; 350;-398;-388;-386;-573; 573; 574
2012-12-04 21:10; 464; 418;-429;-433;-441;-431;-403; 470; 554;-360;-451;-461;-470;-465;-466;-412; 543; 327;-358;-440;-446;-455;-446;-409; 185; 213; 537; 499; 506; 350;-398;-388;-386;-573; 573; 574
2012-12-04 21:15; 465; 416;-428;-434;-441;-431;-404; 471; 552;-359;-452;-460;-470;-465;-466;-413; 543; 327;-358;-440;-445;-456;-446;-409; 184; 213; 537; 499; 506; 350;-397;-388;-386;-573; 573; 575
2012-12-04 21:20; 465; 417;-428;-434;-440;-431;-403; 470; 553;-360;-451;-461;-470;-465;-467;-412; 543; 327;-357;-440;-446;-455;-446;-409; 184; 213; 537; 499; 506; 350;-397;-388;-386;-573; 574; 574
2012-12-04 21:25; 464; 417;-429;-433;-442;-431;-403; 470; 553;-360;-451;-461;-470;-466;-466;-413; 543; 326;-358;-440;-446;-455;-447;-409; 185; 213; 537; 500; 506; 351;-398;-388;-386;-573; 573; 574
2012-12-04 21:30; 464; 417;-429;-433;-442;-431;-403; 470; 553;-359;-451;-461;-469;-466;-466;-414; 543; 326;-358;-440;-446;-455;-447;-409; 184; 213; 537; 499; 506; 351;-398;-388;-386;-573; 573; 575
